,date,sigla_state,city,place_type,confirmed,deaths,order_for_place,is_last,population,codigo_ibge,confirmed_per_100k_inhabitants,death_rate,latitude,longitude,codigo_uf,state
222,2020-03-31,PA,Ananindeua,city,6.0,0.0,7.0,False,530598.0,1500800,1.1308,0.0,-1.36391,-48.3743,15.0,Pará
223,2020-03-30,PA,Ananindeua,city,5.0,0.0,6.0,False,530598.0,1500800,0.9423299999999999,0.0,-1.36391,-48.3743,15.0,Pará
224,2020-03-29,PA,Ananindeua,city,4.0,0.0,5.0,False,530598.0,1500800,0.7538699999999999,0.0,-1.36391,-48.3743,15.0,Pará
225,2020-03-28,PA,Ananindeua,city,4.0,0.0,4.0,False,530598.0,1500800,0.7538699999999999,0.0,-1.36391,-48.3743,15.0,Pará
226,2020-03-27,PA,Ananindeua,city,4.0,0.0,3.0,False,530598.0,1500800,0.7538699999999999,0.0,-1.36391,-48.3743,15.0,Pará
227,2020-03-26,PA,Ananindeua,city,4.0,0.0,2.0,False,530598.0,1500800,0.7538699999999999,0.0,-1.36391,-48.3743,15.0,Pará
228,2020-03-25,PA,Ananindeua,city,2.0,0.0,1.0,False,530598.0,1500800,0.37693000000000004,0.0,-1.36391,-48.3743,15.0,Pará
251,2020-04-01,RJ,Angra dos Reis,city,1.0,0.0,3.0,True,203785.0,3300100,0.49071000000000004,0.0,-23.0011,-44.3196,33.0,Rio de Janeiro
252,2020-03-31,RJ,Angra dos Reis,city,1.0,0.0,2.0,False,203785.0,3300100,0.49071000000000004,0.0,-23.0011,-44.3196,33.0,Rio de Janeiro
253,2020-03-30,RJ,Angra dos Reis,city,1.0,0.0,1.0,False,203785.0,3300100,0.49071000000000004,0.0,-23.0011,-44.3196,33.0,Rio de Janeiro
262,2020-04-02,AM,Anori,city,1.0,0.0,5.0,True,21010.0,1300102,4.75964,0.0,-3.74603,-61.6575,13.0,Amazonas
263,2020-04-01,AM,Anori,city,1.0,0.0,4.0,False,21010.0,1300102,4.75964,0.0,-3.74603,-61.6575,13.0,Amazonas
264,2020-03-31,AM,Anori,city,1.0,0.0,3.0,False,21010.0,1300102,4.75964,0.0,-3.74603,-61.6575,13.0,Amazonas
265,2020-03-30,AM,Anori,city,1.0,0.0,2.0,False,21010.0,1300102,4.75964,0.0,-3.74603,-61.6575,13.0,Amazonas
266,2020-03-29,AM,Anori,city,1.0,0.0,1.0,False,21010.0,1300102,4.75964,0.0,-3.74603,-61.6575,13.0,Amazonas
267,2020-04-02,RS,Anta Gorda,city,2.0,0.0,10.0,True,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
268,2020-04-01,RS,Anta Gorda,city,2.0,0.0,9.0,False,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
269,2020-03-31,RS,Anta Gorda,city,2.0,0.0,8.0,False,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
270,2020-03-30,RS,Anta Gorda,city,2.0,0.0,7.0,False,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
271,2020-03-29,RS,Anta Gorda,city,2.0,0.0,6.0,False,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
272,2020-03-28,RS,Anta Gorda,city,2.0,0.0,5.0,False,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
273,2020-03-27,RS,Anta Gorda,city,2.0,0.0,4.0,False,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
274,2020-03-26,RS,Anta Gorda,city,2.0,0.0,3.0,False,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
275,2020-03-25,RS,Anta Gorda,city,2.0,0.0,2.0,False,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
276,2020-03-24,RS,Anta Gorda,city,1.0,0.0,1.0,False,5981.0,4300703,16.71961,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
283,2020-04-02,SC,Antônio Carlos,city,8.0,1.0,7.0,True,8513.0,4201208,93.97391999999999,0.125,-27.5191,-48.76600000000001,42.0,Santa Catarina
284,2020-04-01,SC,Antônio Carlos,city,1.0,0.0,6.0,False,8513.0,4201208,11.746739999999999,0.0,-27.5191,-48.76600000000001,42.0,Santa Catarina
285,2020-03-31,SC,Antônio Carlos,city,1.0,0.0,5.0,False,8513.0,4201208,11.746739999999999,0.0,-27.5191,-48.76600000000001,42.0,Santa Catarina
286,2020-03-30,SC,Antônio Carlos,city,1.0,0.0,4.0,False,8513.0,4201208,11.746739999999999,0.0,-27.5191,-48.76600000000001,42.0,Santa Catarina
287,2020-03-29,SC,Antônio Carlos,city,1.0,0.0,3.0,False,8513.0,4201208,11.746739999999999,0.0,-27.5191,-48.76600000000001,42.0,Santa Catarina
288,2020-03-28,SC,Antônio Carlos,city,1.0,0.0,2.0,False,8513.0,4201208,11.746739999999999,0.0,-27.5191,-48.76600000000001,42.0,Santa Catarina
289,2020-03-27,SC,Antônio Carlos,city,1.0,0.0,1.0,False,8513.0,4201208,11.746739999999999,0.0,-27.5191,-48.76600000000001,42.0,Santa Catarina
297,2020-04-02,GO,Anápolis,city,4.0,0.0,17.0,True,386923.0,5201108,1.0338,0.0,-16.3281,-48.953,52.0,Goiás
298,2020-04-01,GO,Anápolis,city,4.0,0.0,16.0,False,386923.0,5201108,1.0338,0.0,-16.3281,-48.953,52.0,Goiás
299,2020-03-31,GO,Anápolis,city,4.0,0.0,15.0,False,386923.0,5201108,1.0338,0.0,-16.3281,-48.953,52.0,Goiás
300,2020-03-30,GO,Anápolis,city,4.0,0.0,14.0,False,386923.0,5201108,1.0338,0.0,-16.3281,-48.953,52.0,Goiás
301,2020-03-29,GO,Anápolis,city,4.0,0.0,13.0,False,386923.0,5201108,1.0338,0.0,-16.3281,-48.953,52.0,Goiás
302,2020-03-28,GO,Anápolis,city,4.0,0.0,12.0,False,386923.0,5201108,1.0338,0.0,-16.3281,-48.953,52.0,Goiás
303,2020-03-27,GO,Anápolis,city,3.0,0.0,11.0,False,386923.0,5201108,0.77535,0.0,-16.3281,-48.953,52.0,Goiás
304,2020-03-26,GO,Anápolis,city,3.0,0.0,10.0,False,386923.0,5201108,0.77535,0.0,-16.3281,-48.953,52.0,Goiás
305,2020-03-25,GO,Anápolis,city,3.0,0.0,9.0,False,386923.0,5201108,0.77535,0.0,-16.3281,-48.953,52.0,Goiás
306,2020-03-24,GO,Anápolis,city,3.0,0.0,8.0,False,386923.0,5201108,0.77535,0.0,-16.3281,-48.953,52.0,Goiás
307,2020-03-23,GO,Anápolis,city,2.0,0.0,7.0,False,386923.0,5201108,0.5169,0.0,-16.3281,-48.953,52.0,Goiás
308,2020-03-22,GO,Anápolis,city,2.0,0.0,6.0,False,386923.0,5201108,0.5169,0.0,-16.3281,-48.953,52.0,Goiás
309,2020-03-20,GO,Anápolis,city,2.0,0.0,5.0,False,386923.0,5201108,0.5169,0.0,-16.3281,-48.953,52.0,Goiás
310,2020-03-19,GO,Anápolis,city,2.0,0.0,4.0,False,386923.0,5201108,0.5169,0.0,-16.3281,-48.953,52.0,Goiás
311,2020-03-18,GO,Anápolis,city,2.0,0.0,3.0,False,386923.0,5201108,0.5169,0.0,-16.3281,-48.953,52.0,Goiás
312,2020-03-17,GO,Anápolis,city,2.0,0.0,2.0,False,386923.0,5201108,0.5169,0.0,-16.3281,-48.953,52.0,Goiás
313,2020-03-16,GO,Anápolis,city,2.0,0.0,1.0,False,386923.0,5201108,0.5169,0.0,-16.3281,-48.953,52.0,Goiás
318,2020-04-02,GO,Aparecida de Goiânia,city,2.0,0.0,15.0,True,578179.0,5201405,0.34591,0.0,-16.8198,-49.2469,52.0,Goiás
319,2020-04-01,GO,Aparecida de Goiânia,city,2.0,0.0,14.0,False,578179.0,5201405,0.34591,0.0,-16.8198,-49.2469,52.0,Goiás
320,2020-03-31,GO,Aparecida de Goiânia,city,2.0,0.0,13.0,False,578179.0,5201405,0.34591,0.0,-16.8198,-49.2469,52.0,Goiás
321,2020-03-30,GO,Aparecida de Goiânia,city,2.0,0.0,12.0,False,578179.0,5201405,0.34591,0.0,-16.8198,-49.2469,52.0,Goiás
322,2020-03-29,GO,Aparecida de Goiânia,city,2.0,0.0,11.0,False,578179.0,5201405,0.34591,0.0,-16.8198,-49.2469,52.0,Goiás
323,2020-03-28,GO,Aparecida de Goiânia,city,2.0,0.0,10.0,False,578179.0,5201405,0.34591,0.0,-16.8198,-49.2469,52.0,Goiás
324,2020-03-27,GO,Aparecida de Goiânia,city,2.0,0.0,9.0,False,578179.0,5201405,0.34591,0.0,-16.8198,-49.2469,52.0,Goiás
325,2020-03-26,GO,Aparecida de Goiânia,city,2.0,0.0,8.0,False,578179.0,5201405,0.34591,0.0,-16.8198,-49.2469,52.0,Goiás
326,2020-03-25,GO,Aparecida de Goiânia,city,2.0,0.0,7.0,False,578179.0,5201405,0.34591,0.0,-16.8198,-49.2469,52.0,Goiás
