,date,sigla_state,city,place_type,confirmed,deaths,order_for_place,is_last,population,codigo_ibge,confirmed_per_100k_inhabitants,death_rate,latitude,longitude,codigo_uf,state
3144,2020-04-02,MG,Governador Valadares,city,2.0,0.0,8.0,True,279885.0,3127701,0.71458,0.0,-18.8545,-41.9555,31.0,Minas Gerais
3161,2020-04-02,SC,Gravatal,city,3.0,0.0,13.0,True,11501.0,4206207,26.08469,0.0,-28.3208,-49.0427,42.0,Santa Catarina
3174,2020-04-02,RS,Gravataí,city,9.0,0.0,9.0,True,281519.0,4309209,3.19694,0.0,-29.9413,-50.9869,43.0,Rio Grande do Sul
3207,2020-04-01,RJ,Guapimirim,city,1.0,0.0,14.0,True,60517.0,3301850,1.6524299999999998,0.0,-22.5347,-42.9895,33.0,Rio de Janeiro
3243,2020-04-01,ES,Guarapari,city,2.0,0.0,5.0,True,124859.0,3202405,1.60181,0.0,-20.6772,-40.5093,32.0,Espírito Santo
3248,2020-04-02,PR,Guarapuava,city,1.0,0.0,7.0,True,181504.0,4109401,0.55095,0.0,-25.3902,-51.4623,41.0,Paraná
3270,2020-04-01,SP,Guarujá,city,1.0,0.0,2.0,True,320459.0,3518701,0.31205,0.0,-23.9888,-46.258,35.0,São Paulo
3273,2020-04-01,SP,Guarulhos,city,25.0,2.0,10.0,True,1379182.0,3518800,1.81267,0.08,-23.4538,-46.5333,35.0,São Paulo
3288,2020-04-02,RS,Guaíba,city,1.0,0.0,1.0,True,98143.0,4309308,1.01892,0.0,-30.1086,-51.3233,43.0,Rio Grande do Sul
3290,2020-04-02,PR,Guaíra,city,2.0,0.0,14.0,True,33119.0,4108809,6.03883,0.0,-24.085,-54.2573,41.0,Paraná
3306,2020-04-02,MG,Guimarânia,city,1.0,0.0,7.0,True,8039.0,3128907,12.43936,0.0,-18.8425,-46.7901,31.0,Minas Gerais
3333,2020-04-02,GO,Hidrolândia,city,0.0,0.0,7.0,True,21706.0,5209705,0.0,0.0,-16.9626,-49.2265,52.0,Goiás
3344,2020-04-01,SP,Hortolândia,city,1.0,0.0,7.0,True,230851.0,3519071,0.43318,0.0,-22.8529,-47.2143,35.0,São Paulo
3363,2020-04-02,PR,Ibaiti,city,1.0,0.0,2.0,True,31364.0,4109708,3.18837,0.0,-23.8478,-50.1932,41.0,Paraná
3423,2020-04-02,PB,Igaracy,city,1.0,0.0,11.0,True,6117.0,2502607,16.34788,0.0,-7.17184,-38.1478,25.0,Paraíba
3465,2020-04-02,BA,Ilhéus,city,8.0,0.0,9.0,True,162327.0,2913606,4.928319999999999,0.0,-14.793,-39.046,29.0,Bahia
3479,2020-04-02,SC,Imbituba,city,5.0,0.0,14.0,True,44853.0,4207304,11.14753,0.0,-28.2284,-48.6659,42.0,Santa Catarina
3498,2020-04-02,MA,Imperatriz,city,1.0,0.0,2.0,True,258682.0,2105302,0.38658000000000003,0.0,-5.51847,-47.4777,21.0,Maranhão
3500,2020-04-02,SC,Importados/Indefinidos,city,8.0,0.0,9.0,True,0.0,0,0.0,0.0,0.0,0.0,0.0,0
3509,2020-04-01,RN,Importados/Indefinidos,city,2.0,0.0,4.0,True,0.0,0,0.0,0.0,0.0,0.0,0.0,0
3513,2020-04-02,PR,Importados/Indefinidos,city,6.0,0.0,12.0,True,0.0,0,0.0,0.0,0.0,0.0,0.0,0
3525,2020-04-01,SP,Importados/Indefinidos,city,59.0,0.0,8.0,True,0.0,0,0.0,0.0,0.0,0.0,0.0,0
3533,2020-04-02,PE,Importados/Indefinidos,city,5.0,1.0,17.0,True,0.0,0,0.0,0.2,0.0,0.0,0.0,0
3550,2020-04-01,RJ,Importados/Indefinidos,city,0.0,0.0,12.0,True,0.0,0,0.0,0.0,0.0,0.0,0.0,0
3562,2020-04-02,GO,Importados/Indefinidos,city,0.0,0.0,14.0,True,0.0,0,0.0,0.0,0.0,0.0,0.0,0
3576,2020-04-02,MG,Importados/Indefinidos,city,3.0,0.0,12.0,True,0.0,0,0.0,0.0,0.0,0.0,0.0,0
3588,2020-04-01,ES,Importados/Indefinidos,city,0.0,0.0,9.0,True,0.0,0,0.0,0.0,0.0,0.0,0.0,0
3597,2020-03-30,CE,Importados/Indefinidos,city,0.0,0.0,12.0,True,0.0,0,0.0,0.0,0.0,0.0,0.0,0
3609,2020-04-02,BA,Importados/Indefinidos,city,0.0,0.0,10.0,True,0.0,0,0.0,0.0,0.0,0.0,0.0,0
3619,2020-03-23,AM,Importados/Indefinidos,city,0.0,0.0,7.0,True,0.0,0,0.0,0.0,0.0,0.0,0.0,0
3626,2020-04-02,AL,Importados/Indefinidos,city,4.0,0.0,5.0,True,0.0,0,0.0,0.0,0.0,0.0,0.0,0
3636,2020-04-02,SC,Indaial,city,1.0,0.0,5.0,True,69425.0,4207502,1.4404,0.0,-26.8992,-49.2354,42.0,Santa Catarina
3641,2020-04-01,SP,Indaiatuba,city,2.0,0.0,1.0,True,251627.0,3520509,0.79483,0.0,-23.0816,-47.2101,35.0,São Paulo
3672,2020-04-02,MG,Ipatinga,city,1.0,0.0,20.0,True,263410.0,3131307,0.37964000000000003,0.0,-19.4703,-42.5476,31.0,Minas Gerais
3698,2020-04-02,BA,Ipiaú,city,1.0,0.0,7.0,True,45873.0,2913903,2.17993,0.0,-14.1226,-39.7353,29.0,Bahia
3722,2020-04-02,PE,Ipubi,city,1.0,0.0,3.0,True,30854.0,2607307,3.24107,0.0,-7.64505,-40.1476,26.0,Pernambuco
3737,2020-04-01,SP,Iracemápolis,city,1.0,0.0,6.0,True,24235.0,3521408,4.12626,0.0,-22.5832,-47.523,35.0,São Paulo
3757,2020-04-02,PR,Iretama,city,1.0,0.0,7.0,True,10169.0,4110805,9.83381,0.0,-24.4253,-52.1012,41.0,Paraná
3781,2020-04-01,RJ,Itaboraí,city,4.0,0.0,6.0,True,240592.0,3301900,1.66257,0.0,-22.7565,-42.8639,33.0,Rio de Janeiro
3787,2020-04-02,BA,Itabuna,city,4.0,0.0,15.0,True,213223.0,2914802,1.8759700000000001,0.0,-14.7876,-39.2781,29.0,Bahia
3806,2020-04-02,AM,Itacoatiara,city,4.0,0.0,5.0,True,101337.0,1301902,3.9472300000000002,0.0,-3.13861,-58.4449,13.0,Amazonas
3815,2020-04-02,BA,Itagibá,city,1.0,0.0,6.0,True,14579.0,2915205,6.85918,0.0,-14.2782,-39.8449,29.0,Bahia
3834,2020-04-01,CE,Itaitinga,city,1.0,0.0,4.0,True,37980.0,2306256,2.6329599999999997,0.0,-3.96577,-38.5298,23.0,Ceará
